f[Hz],F_B[%],H_max[T],H_max_equiv[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
4,75,1.322,1.2,0.3977,360.9411738,20,198.7265727,560.3996333,366.7801169,68.97,14.29687574,0.4416
4,75,1.322,1.2,0.5965,670.7527657,20,-224.87705,666.2305843,1022.252996,68.97,-16.17820504,-0.2092
4,75,1.322,1.2,0.7953,1066.800714,20,-1149.014242,637.5639717,2167.608759,68.97,-82.66289511,-0.5335
4,75,1.322,1.2,0.9942,1549.08708,20,-2734.922411,414.9096115,3934.229025,68.97,-196.757008,-0.7185
4,75,1.433,1.3,0.1988,137.3610771,20,298.7046805,400.7253947,69.81353121,68.97,21.48954536,1.8637
4,75,1.433,1.3,0.3977,360.9411738,20,315.170838,685.6378231,366.7801169,68.97,22.67416101,0.6875
4,75,1.433,1.3,0.5965,670.7527657,20,-51.72771147,852.3652088,1022.252996,68.97,-3.72141809,-0.0476
4,75,1.433,1.3,0.7953,1066.800714,20,-920.060367,883.4001078,2167.608759,68.97,-66.19139331,-0.4239
4,75,1.433,1.3,0.9942,1549.08708,20,-2451.19538,718.932358,3934.229025,68.97,-176.3449914,-0.6405
4,75,1.544,1.4,0.1988,137.3610771,20,352.4176267,458.7845091,69.81353121,68.97,25.35378609,2.1471
4,75,1.544,1.4,0.3977,360.9411738,20,421.8266071,800.8181604,366.7801169,68.97,30.34723792,0.905
4,75,1.544,1.4,0.5965,670.7527657,20,107.0510877,1023.649783,1022.252996,68.97,7.7015171,0.0974
4,75,1.544,1.4,0.7953,1066.800714,20,-709.959135,1109.695688,2167.608759,68.97,-51.07619676,-0.3248
4,75,1.544,1.4,0.9942,1549.08708,20,-2190.820287,998.7682416,3934.229025,68.97,-157.6129703,-0.5697
4,90,1.1,1,0.1988,108.1349079,20,89.51705717,167.4069928,45.29058144,83.27488889,6.44007606,0.6631
4,90,1.1,1,0.3977,275.6992639,20,-63.53406362,211.0170017,230.8822878,83.27488889,-4.57079594,-0.2052
4,90,1.1,1,0.5965,502.7002875,20,-541.1865629,122.6632353,631.3885181,83.27488889,-38.9342851,-0.8009
4,90,1.1,1,0.7953,789.1413012,20,-1443.323593,-128.0140805,1321.436757,83.27488889,-103.8362297,-1.1095
4,90,1.1,1,0.9942,1135.023852,20,-2911.775339,-612.6134356,2375.658069,83.27488889,-209.4802402,-1.2944
4,90,1.211,1.1,0.1988,108.1349079,20,153.4994472,235.6552226,45.29058144,83.27488889,11.0431257,1.0995
4,90,1.211,1.1,0.3977,275.6992639,20,63.64064687,347.0220522,230.8822878,83.27488889,4.5784638,0.1997
4,90,1.211,1.1,0.5965,502.7002875,20,-351.8351083,325.208627,631.3885181,83.27488889,-25.3118783,-0.5104
4,90,1.211,1.1,0.7953,789.1413012,20,-1192.610906,139.9919992,1321.436757,83.27488889,-85.79934574,-0.9042
4,90,1.211,1.1,0.9942,1135.023852,20,-2600.501216,-280.4261898,2375.658069,83.27488889,-187.0864184,-1.1447
4,90,1.322,1.2,0.1988,108.1349079,20,210.5421563,296.5387522,45.29058144,83.27488889,15.14691772,1.465
4,90,1.322,1.2,0.3977,275.6992639,20,176.7942604,468.1713144,230.8822878,83.27488889,12.71901154,0.5409
4,90,1.322,1.2,0.5965,502.7002875,20,-183.479509,505.5055983,631.3885181,83.27488889,-13.19996467,-0.2616
4,90,1.322,1.2,0.7953,789.1413012,20,-969.7632661,378.4442234,1321.436757,83.27488889,-69.76714144,-0.7264
4,90,1.322,1.2,0.9942,1135.023852,20,-2323.932584,15.02126855,2375.658069,83.27488889,-167.1893945,-1.014
4,90,1.433,1.3,0.1988,108.1349079,20,261.563749,351.2480833,45.29058144,83.27488889,18.8175359,1.7747
4,90,1.433,1.3,0.3977,275.6992639,20,278.0485229,576.9526937,230.8822878,83.27488889,20.00349086,0.8321
4,90,1.433,1.3,0.5965,502.7002875,20,-32.69231882,667.426829,631.3885181,83.27488889,-2.35196538,-0.0459
4,90,1.433,1.3,0.7953,789.1413012,20,-770.065356,592.6714863,1321.436757,83.27488889,-55.40038533,-0.5707
4,90,1.433,1.3,0.9942,1135.023852,20,-2076.04951,280.4118034,2375.658069,83.27488889,-149.3560799,-0.8989
4,90,1.544,1.4,0.1988,108.1349079,20,308.0058844,401.4330813,45.29058144,83.27488889,22.15869672,2.0435
4,90,1.544,1.4,0.3977,275.6992639,20,370.3580236,676.5765808,230.8822878,83.27488889,26.64446213,1.0867
4,90,1.544,1.4,0.5965,502.7002875,20,104.9305205,815.852555,631.3885181,83.27488889,7.54895831,0.1453
4,90,1.544,1.4,0.7953,789.1413012,20,-587.6540972,789.0553198,1321.436757,83.27488889,-42.27727318,-0.4313
4,90,1.544,1.4,0.9942,1135.023852,20,-1849.630883,523.6611123,2375.658069,83.27488889,-133.06697,-0.7952
