Hmax[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.3	1	20	30	90	0.9942	144.349315	20	20.26864803	46.85097763	213.6387566	34.19595654	83.27488889	3.37057393	0.3877	563.4730539
1.3	1	20	30	100	0.1988	19.02445271	20	20.99901005	62.18854564	130.7459685	0.91287081	91.96	4.47399609	0.6388	1689.729355
1.3	1	20	30	100	0.3977	41.05816915	20	20.86460272	121.2577345	212.5586117	3.940043	91.96	8.72357802	1.159	1709.562952
1.3	1	20	30	100	0.5965	66.10116666	20	20.71252273	148.9264061	263.7455439	9.51441171	91.96	10.71412994	1.3275	1616.834543
1.3	1	20	30	100	0.7953	94.15347069	20	20.50286347	122.1071595	266.4305898	18.06892077	91.96	8.78468774	1.0277	1528.552341
1.3	1	20	30	100	0.9942	125.2151056	20	20.21161358	11.52642557	193.4359786	30.03654309	91.96	0.82923925	0.0938	1459.01069
1.3	1	25	25	60	0.1988	33.68866204	20	21.06837635	92.77250928	112.4683481	1.60137866	55.176	6.67428124	1.4621	292.1305454
1.3	1	25	25	60	0.3977	75.81455404	20	20.98331329	163.879338	213.9833357	7.20717236	55.176	11.78988043	2.2094	323.1117017
1.3	1	25	25	60	0.5965	126.3778425	20	20.81037759	189.5834787	277.6620798	18.02003471	55.176	13.63909919	2.1833	261.723431
1.3	1	25	25	60	0.7953	185.37863	20	20.55446824	144.4751501	282.0706072	35.24272743	55.176	10.39389569	1.4331	137.334928
1.3	1	25	25	60	0.9942	252.8169804	20	20.20202905	-3.73197693	198.6506231	60.07805814	55.176	-0.26848755	-0.0325	-35.56582797
1.3	1	25	25	70	0.1988	28.32010001	20	21.05029756	89.05982767	113.005011	1.34793378	64.372	6.40718185	1.2348	368.5820668
1.3	1	25	25	70	0.3977	62.83074925	20	20.96508814	159.595518	211.7875112	5.98072117	64.372	11.48169194	1.9502	415.7159617
1.3	1	25	25	70	0.5965	103.5320462	20	20.80444371	189.5065808	274.9500976	14.78194541	64.372	13.63356696	2.0424	357.9108466
1.3	1	25	25	70	0.7953	150.4240559	20	20.56627806	154.4636677	281.7197974	28.63526263	64.372	11.11249408	1.4835	234.2087915
