f[Hz]	H_max[T]	H_min[T]	F[%]	U_HB[-]	dPCB[kPa]	Tspan [K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]
2	1.4	0.1	90	0.9942	381.6354	20.0000	253.6533	821.2262	399.3716	83.2749	18.2484	0.5064
2	1.4	0.1	100	0.1988	41.0801	20.0000	224.2816	288.0838	7.8880	91.9600	16.1354	1.9337
2	1.4	0.1	100	0.3977	94.1959	20.0000	412.0406	543.8081	36.1671	91.9600	29.6432	2.6116
2	1.4	0.1	100	0.5965	159.3477	20.0000	523.8273	749.9003	91.7625	91.9600	37.6854	2.3659
2	1.4	0.1	100	0.7953	236.5361	20.0000	514.5988	869.2720	181.6010	91.9600	37.0215	1.6569
2	1.4	0.1	100	0.9942	325.7613	20.0000	321.3206	846.8086	312.6103	91.9600	23.1166	0.7513
4	1	0.05	90	0.1988	108.1349	20.0000	130.5570	233.8212	45.2906	83.2749	9.3926	0.9464
4	1	0.05	90	0.3977	275.6993	20.0000	67.9589	382.4009	230.8823	83.2749	4.8891	0.2130
4	1	0.05	90	0.5965	502.7003	20.0000	-294.6611	423.1177	631.3885	83.2749	-21.1986	-0.4249
4	1	0.05	90	0.7953	789.1413	20.0000	-1073.3714	310.2800	1321.4368	83.2749	-77.2210	-0.8086
4	1	0.05	90	0.9942	1135.0239	20.0000	-2422.1793	-39.0150	2375.6581	83.2749	-174.2575	-1.0602
4	1	0.05	100	0.1988	94.3004	20.0000	131.1190	233.3002	36.2392	91.9600	9.4330	0.9527
4	1	0.05	100	0.3977	236.7307	20.0000	91.3837	382.6252	181.8567	91.9600	6.5744	0.3259
4	1	0.05	100	0.5965	427.2978	20.0000	-219.6976	423.2139	492.2431	91.9600	-15.8056	-0.3865
4	1	0.05	100	0.7953	666.0078	20.0000	-911.5332	303.6460	1022.8137	91.9600	-65.5779	-0.8688
4	1	0.05	100	0.9942	952.8642	20.0000	-2130.9494	-64.4445	1828.9914	91.9600	-153.3057	-1.2055
4	1	0.1	90	0.1988	108.1349	20.0000	123.3936	223.9766	45.2906	83.2749	8.8772	0.8978
4	1	0.1	90	0.3977	275.6993	20.0000	48.0772	357.7874	230.8823	83.2749	3.4588	0.1514
4	1	0.1	90	0.5965	502.7003	20.0000	-330.7916	380.1313	631.3885	83.2749	-23.7980	-0.4788
4	1	0.1	90	0.7953	789.1413	20.0000	-1127.3359	247.2237	1321.4368	83.2749	-81.1033	-0.8517
4	1	0.1	90	0.9942	1135.0239	20.0000	-2494.0013	-122.4390	2375.6581	83.2749	-179.4246	-1.0941
4	1	0.1	100	0.1988	94.3004	20.0000	124.2982	223.8191	36.2392	91.9600	8.9423	0.9063
4	1	0.1	100	0.3977	236.7307	20.0000	72.4655	358.9920	181.8567	91.9600	5.2133	0.2597
4	1	0.1	100	0.5965	427.2978	20.0000	-254.2912	381.7909	492.2431	91.9600	-18.2943	-0.4494
4	1	0.1	100	0.7953	666.0078	20.0000	-963.5698	242.5344	1022.8137	91.9600	-69.3216	-0.9217
4	1	0.1	100	0.9942	952.8642	20.0000	-2200.6569	-145.7018	1828.9914	91.9600	-158.3206	-1.2485
4	1.1	0.05	90	0.1988	108.1349	20.0000	209.9291	323.7136	45.2906	83.2749	15.1028	1.4612
4	1.1	0.05	90	0.3977	275.6993	20.0000	232.9783	565.7789	230.8823	83.2749	16.7610	0.7040
4	1.1	0.05	90	0.5965	502.7003	20.0000	-42.1903	701.3521	631.3885	83.2749	-3.0353	-0.0593
4	1.1	0.05	90	0.7953	789.1413	20.0000	-733.6461	682.8347	1321.4368	83.2749	-52.7803	-0.5427
4	1.1	0.05	90	0.9942	1135.0239	20.0000	-1996.6098	426.0583	2375.6581	83.2749	-143.6410	-0.8624
4	1.1	0.05	100	0.1988	94.3004	20.0000	208.2080	320.7445	36.2392	91.9600	14.9790	1.4542
4	1.1	0.05	100	0.3977	236.7307	20.0000	252.4574	561.8571	181.8567	91.9600	18.1624	0.8646
4	1.1	0.05	100	0.5965	427.2978	20.0000	27.7578	696.2732	492.2431	91.9600	1.9970	0.0474
4	1.1	0.05	100	0.7953	666.0078	20.0000	-577.3955	670.5156	1022.8137	91.9600	-41.5392	-0.5380
4	1.1	0.05	100	0.9942	952.8642	20.0000	-1711.0947	394.9333	1828.9914	91.9600	-123.1003	-0.9517
4	1.1	0.1	90	0.1988	108.1349	20.0000	202.6772	313.6469	45.2906	83.2749	14.5811	1.4159
4	1.1	0.1	90	0.3977	275.6993	20.0000	212.8073	540.6328	230.8823	83.2749	15.3099	0.6459
4	1.1	0.1	90	0.5965	502.7003	20.0000	-78.9828	657.3660	631.3885	83.2749	-5.6822	-0.1114
4	1.1	0.1	90	0.7953	789.1413	20.0000	-788.7432	618.1836	1321.4368	83.2749	-56.7441	-0.5851
4	1.1	0.1	90	0.9942	1135.0239	20.0000	-2070.0745	340.4196	2375.6581	83.2749	-148.9262	-0.8961
4	1.1	0.1	100	0.1988	94.3004	20.0000	201.3000	311.0453	36.2392	91.9600	14.4820	1.4108
