f[Hz]	Hmax[T]	MagPeriod [s]	FieldPeriod[s]	F[%]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1	1.2	30	20	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	35.91100423	87.75367431	89.22636372	5.153126984	22.08	11.35444954	2.274143188	-484.7250729
1	1.2	30	20	80	Test1	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	35.75865838	96.38572516	99.99995656	9.42744944	22.08	12.47135076	2.191640625	-862.4429842
1	1.2	30	20	80	Test2	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.55132927	87.12813835	90.9290142	15.14653394	22.08	11.27351143	1.79645478	-1445.453582
1	1.2	30	20	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	35.92364872	58.33605728	61.62698677	1.952585739	23.04	7.54810353	1.792711175	-225.2857437
1	1.2	30	20	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	35.8405845	78.78393764	84.97853497	4.510729242	23.04	10.19385515	2.087291168	-448.4850715
1	1.2	30	20	90	Test1	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	35.68635987	85.40027448	92.85249288	8.227803582	23.04	11.04994309	2.01807235	-810.9882006
1	1.2	30	20	90	Test2	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.48337904	75.09906164	81.73402507	13.18208017	23.04	9.71706897	1.634750818	-1365.983461
1	1.3	5	45	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.27983266	86.94236355	79.93656256	3.046043856	20.16	11.24947403	2.52332192	-169.1828644
1	1.3	5	45	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.25101231	122.125999	122.6250167	7.122737142	20.16	15.80188526	2.834561199	-386.9684462
1	1.3	5	45	60	Test1	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.11549977	141.5742609	149.4370022	13.14110412	20.16	18.31829623	2.742656054	-707.6766262
1	1.3	5	45	60	Test2	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.90254636	140.0251492	154.2969131	21.28055888	20.16	18.11785664	2.351055648	-1229.028969
1	1.3	5	45	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.32769464	87.90826623	85.47502017	2.5816217	21.12	11.37445219	2.506217386	-179.978979
1	1.3	5	45	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.29972725	125.3328057	129.3096513	6.006380394	21.12	16.21681405	2.891637484	-410.3704483
1	1.3	5	45	70	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.17372584	148.363633	158.2567361	11.02952762	21.12	19.19677322	2.889470723	-741.0619108
1	1.3	5	45	70	Test2	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.96971316	151.1614658	165.484445	17.78287755	21.12	19.55878485	2.58565117	-1275.019426
1	1.3	5	45	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.38288374	88.63901521	91.19658176	2.223694232	22.08	11.46900382	2.477839806	-212.3906007
1	1.3	5	45	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.3503634	127.7446489	135.7777073	5.153126984	22.08	16.52888249	2.919076397	-460.924613
1	1.3	5	45	80	Test1	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.22888551	153.5105505	166.3191053	9.42744944	22.08	19.86273297	2.988320136	-809.187123
1	1.3	5	45	80	Test2	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	36.02976084	159.6730573	175.3717427	15.14653394	22.08	20.66009983	2.758375239	-1359.555864
1	1.3	5	45	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.42347665	89.27866654	96.78831071	1.952585739	23.04	11.55176831	2.443022154	-251.4056672
1	1.3	5	45	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.38233459	129.3584889	141.7798432	4.510729242	23.04	16.73769727	2.920819255	-501.2637771
1	1.3	5	45	90	Test1	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.26326348	157.0655136	173.5387599	8.227803582	23.04	20.3227097	3.04446503	-849.1827974
1	1.3	5	45	90	Test2	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	36.06827357	165.6420659	184.2667676	13.18208017	23.04	21.43242997	2.873011417	-1382.067148
1	1.3	10	40	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.28231597	87.38467115	79.81363798	3.046043856	20.16	11.30670422	2.531953438	-172.8618382
1	1.3	10	40	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.25204482	122.5150704	122.4333478	7.122737142	20.16	15.85222722	2.840272901	-391.1293768
1	1.3	10	40	60	Test1	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.11562026	141.8724452	149.1657448	13.14110412	20.16	18.35687831	2.746379911	-713.3472014
1	1.3	10	40	60	Test2	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.90235487	140.2796316	153.9754834	21.28055888	20.16	18.15078413	2.35402702	-1236.147685
1	1.3	10	40	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.33039897	88.43242764	85.29843826	2.5816217	21.12	11.44227345	2.516295569	-190.4325129
1	1.3	10	40	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.30077844	125.8059647	129.0364835	6.006380394	21.12	16.2780361	2.898459993	-422.4936975
1	1.3	10	40	70	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.17374883	148.7545838	157.8655857	11.02952762	21.12	19.24735835	2.894233395	-756.6905244
1	1.3	10	40	70	Test2	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.96933935	151.5122103	165.0051343	17.78287755	21.12	19.60416769	2.589640439	-1293.914914
1	1.3	10	40	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.38657269	89.53092227	90.76020839	2.223694232	22.08	11.58440769	2.494724365	-253.8845533
1	1.3	10	40	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.35136624	128.5895566	135.094114	5.153126984	22.08	16.63820511	2.931061139	-510.600428
1	1.3	10	40	80	Test1	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.22815474	154.2711161	165.3240766	9.42744944	22.08	19.96114256	2.997383648	-870.693523
1	1.3	10	40	80	Test2	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	36.02824575	160.3839822	174.1143465	15.14653394	22.08	20.75208642	2.766260757	-1431.889368
1	1.3	10	40	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.38921083	87.53148994	93.61726268	1.952585739	23.04	11.3257011	2.410121665	-289.5532802
1	1.3	10	40	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.34313241	126.0298672	136.7410287	4.510729242	23.04	16.30700684	2.873606311	-542.9781245
1	1.3	10	40	90	Test1	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.22021603	152.1219356	166.2974391	8.227803582	23.04	19.68306005	2.985659608	-906.0775169
1	1.3	10	40	90	Test2	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	36.02397957	159.241385	175.0049755	13.18208017	23.04	20.60424575	2.802246714	-1454.354281
