f[Hz],H[mm],H_max[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
2,15,1.1,0.7953,236.53609,20,8.3515302,237.8609846,136.2007702,91.96,0.60082951,0.0365
2,15,1.1,0.9942,325.7613467,20,-228.9189968,121.1467413,234.4576983,91.96,-16.46899258,-0.7386
2,15,1.2,0.1988,41.08011652,20,104.4544151,144.4808019,5.91598001,91.96,7.51470613,0.9911
2,15,1.2,0.3977,94.19589525,20,180.237993,265.6158836,27.12532177,91.96,12.96676209,1.3649
2,15,1.2,0.5965,159.3477262,20,199.7580922,350.4666575,68.8218786,91.96,14.37108577,1.1405
2,15,1.2,0.7953,236.53609,20,130.1752411,372.1829528,136.2007702,91.96,9.36512526,0.548
2,15,1.2,0.9942,325.7613467,20,-75.73476916,289.5214644,234.4576983,91.96,-5.44854454,-0.236
2,15,1.3,0.1988,41.08011652,20,131.8912764,175.7892701,5.91598001,91.96,9.48858104,1.2284
2,15,1.3,0.3977,94.19589525,20,236.5762855,328.6805808,27.12532177,91.96,17.01987665,1.7382
2,15,1.3,0.5965,159.3477262,20,285.7666599,445.9821733,68.8218786,91.96,20.55875251,1.5759
2,15,1.3,0.7953,236.53609,20,246.0450823,500.2519308,136.2007702,91.96,17.70108506,1.0007
2,15,1.3,0.9942,325.7613467,20,69.79756882,449.8485002,234.4576983,91.96,5.02140783,0.2106
2,15,1.4,0.1988,41.08011652,20,158.0606682,205.868467,5.91598001,91.96,11.37127109,1.4468
2,15,1.4,0.3977,94.19589525,20,290.2322027,389.0314317,27.12532177,91.96,20.88001459,2.0736
2,15,1.4,0.5965,159.3477262,20,367.6314936,537.2427702,68.8218786,91.96,26.44830889,1.9635
2,15,1.4,0.7953,236.53609,20,356.3263967,622.5447256,136.2007702,91.96,25.63499257,1.404
2,15,1.4,0.9942,325.7613467,20,208.2952998,602.8746813,234.4576983,91.96,14.98527337,0.6101
2,20,0.9,0.1988,41.08011652,20,43.08854796,82.0553072,7.88797335,91.96,3.09989554,0.4185
2,20,0.9,0.3977,94.19589525,20,39.19355971,127.6243186,36.16709569,91.96,2.81968055,0.2993
2,20,0.9,0.5965,159.3477262,20,-45.72992249,119.2319957,91.76250479,91.96,-3.28992248,-0.2534
2,20,0.9,0.7953,236.53609,20,-252.9501008,23.65796482,181.6010269,91.96,-18.19784898,-0.9906
2,20,0.9,0.9942,325.7613467,20,-643.1602206,-211.8055776,312.6102643,91.96,-46.27051947,-1.795
2,20,1,0.1988,41.08011652,20,80.66349081,125.0977506,7.88797335,91.96,5.80312884,0.7635
2,20,1,0.3977,94.19589525,20,118.0610552,216.2440477,36.16709569,91.96,8.49360109,0.8642
2,20,1,0.5965,159.3477262,20,76.92897397,255.7784387,91.76250479,91.96,5.53445856,0.4065
